airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-05-21,Delhi,Cochin,22:50:00,04:25:00,335,1.0,In-flight meal not included,12898
Air India,2019-06-12,Kolkata,Banglore,09:10:00,11:05:00,1555,2.0,No Info,6117
Vistara,2019-03-18,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,4842
Indigo,2019-05-15,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,7923
Multiple Carriers,2019-05-15,Delhi,Cochin,06:40:00,19:00:00,740,1.0,No Info,9315
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,11:25:00,990,1.0,In-flight meal not included,11087
Indigo,2019-05-09,Kolkata,Banglore,08:10:00,13:00:00,290,1.0,No Info,5069
Indigo,2019-03-15,Banglore,New Delhi,04:00:00,06:50:00,170,0.0,No Info,5694
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,16:20:00,590,1.0,In-flight meal not included,10844
Jet Airways,2019-06-18,Delhi,Cochin,09:50:00,13:05:00,195,0.0,No Info,9564
Jet Airways,2019-05-15,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,No Info,14388
Air India,2019-03-15,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4435
Multiple Carriers,2019-06-09,Delhi,Cochin,17:50:00,01:30:00,460,2.0,No Info,18485
Indigo,2019-06-12,Chennai,Kolkata,14:45:00,17:05:00,140,0.0,No Info,3597
Indigo,2019-03-01,Kolkata,Banglore,15:20:00,17:55:00,155,0.0,No Info,6565
Jet Airways,2019-06-03,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,5769
Air India,2019-03-24,Kolkata,Banglore,05:55:00,23:15:00,1040,3.0,No Info,15145
Air India,2019-05-24,Kolkata,Banglore,05:50:00,23:15:00,1045,2.0,No Info,12723
Jet Airways,2019-03-27,Delhi,Cochin,16:00:00,19:45:00,1665,1.0,In-flight meal not included,5963
Air India,2019-04-24,Banglore,Delhi,06:10:00,08:55:00,165,0.0,No Info,5228
Vistara,2019-05-18,Kolkata,Banglore,07:10:00,20:20:00,790,1.0,No Info,9345
Jet Airways,2019-06-01,Delhi,Cochin,18:25:00,04:25:00,600,2.0,No Info,14237
Jet Airways,2019-03-06,Delhi,Cochin,19:10:00,04:25:00,1995,2.0,No Info,20694
Jet Airways,2019-06-24,Delhi,Cochin,22:50:00,04:25:00,335,1.0,No Info,14714
Multiple Carriers,2019-05-27,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,13377
Indigo,2019-03-24,Banglore,New Delhi,04:00:00,06:50:00,170,0.0,No Info,5694
Jet Airways,2019-05-18,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,No Info,5678
Air India,2019-05-24,Kolkata,Banglore,09:50:00,08:55:00,1385,2.0,No Info,15170
Indigo,2019-05-18,Chennai,Kolkata,15:40:00,18:25:00,165,0.0,No Info,3850
Air Asia,2019-05-12,Kolkata,Banglore,06:50:00,10:30:00,220,1.0,No Info,5162
Jet Airways,2019-05-18,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,No Info,15129
Jet Airways,2019-05-21,Kolkata,Banglore,18:55:00,12:00:00,1025,1.0,In-flight meal not included,10844
Spicejet,2019-06-03,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,3597
Multiple Carriers,2019-03-21,Delhi,Cochin,07:00:00,13:20:00,380,1.0,No Info,9042
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,09:00:00,1135,1.0,No Info,17261
Indigo,2019-03-03,Mumbai,Hyderabad,02:30:00,04:00:00,90,0.0,No Info,4575
Spicejet,2019-05-09,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No Info,3873
Jet Airways,2019-05-09,Delhi,Cochin,07:05:00,12:35:00,330,1.0,In-flight meal not included,12373
Air India,2019-05-24,Kolkata,Banglore,09:50:00,21:05:00,675,1.0,No Info,7662
Indigo,2019-06-27,Delhi,Cochin,23:30:00,04:35:00,305,1.0,No Info,9165
Indigo,2019-06-15,Delhi,Cochin,18:35:00,01:30:00,415,1.0,No Info,5883
Air India,2019-06-27,Delhi,Cochin,13:30:00,23:00:00,570,1.0,No Info,8907
Indigo,2019-03-03,Delhi,Cochin,10:45:00,15:30:00,285,1.0,No Info,7725
Jet Airways,2019-05-21,Kolkata,Banglore,17:00:00,10:55:00,1075,1.0,No Info,14151
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,12:00:00,1315,1.0,No Info,14388
Air India,2019-04-09,Delhi,Cochin,08:00:00,19:15:00,675,1.0,No Info,6377
Jet Airways,2019-04-21,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,4544
Jet Airways,2019-06-01,Delhi,Cochin,20:00:00,04:25:00,505,2.0,No Info,16263
Jet Airways,2019-04-03,Delhi,Cochin,14:00:00,12:35:00,1355,1.0,In-flight meal not included,5177
Multiple Carriers,2019-05-09,Delhi,Cochin,06:40:00,19:15:00,755,1.0,No Info,7787
Jet Airways,2019-03-27,Delhi,Cochin,16:00:00,19:45:00,1665,1.0,No Info,12032
Jet Airways,2019-03-24,Kolkata,Banglore,18:55:00,16:20:00,1285,1.0,No Info,14231
Jet Airways,2019-05-15,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,No Info,13941
Indigo,2019-06-24,Delhi,Cochin,05:05:00,12:10:00,425,1.0,No Info,6442
Spicejet,2019-05-09,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No check-in baggage included,4760
Indigo,2019-06-27,Delhi,Cochin,06:40:00,21:00:00,860,1.0,No Info,6093
Air India,2019-05-18,Delhi,Cochin,09:00:00,07:40:00,1360,1.0,No Info,8372
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,In-flight meal not included,13469
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,12:25:00,810,1.0,In-flight meal not included,11087
Air India,2019-03-01,Banglore,New Delhi,09:30:00,23:45:00,855,1.0,No Info,12704
Air India,2019-04-06,Delhi,Cochin,06:05:00,09:25:00,1640,1.0,No Info,4487
Air India,2019-05-21,Delhi,Cochin,18:45:00,19:15:00,1470,2.0,No Info,12257
Jet Airways,2019-03-12,Banglore,New Delhi,16:55:00,10:45:00,1070,1.0,No Info,13817
Jet Airways,2019-06-06,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,No Info,14571
Air India,2019-03-15,Banglore,New Delhi,08:50:00,15:15:00,385,1.0,No Info,8714
Jet Airways,2019-03-27,Delhi,Cochin,19:10:00,04:25:00,1995,2.0,No Info,10929
Spicejet,2019-03-01,Banglore,New Delhi,15:35:00,23:40:00,485,1.0,1 Long layover,7744
Vistara,2019-05-21,Kolkata,Banglore,07:10:00,09:05:00,1555,1.0,No Info,8452
Jet Airways,2019-03-06,Banglore,New Delhi,11:40:00,09:30:00,1310,1.0,No Info,17261
Multiple Carriers,2019-06-09,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No Info,7408
Jet Airways,2019-05-21,Kolkata,Banglore,16:30:00,23:35:00,425,1.0,No Info,14781
Jet Airways,2019-06-09,Kolkata,Banglore,08:25:00,04:40:00,1215,1.0,No Info,13731
Air Asia,2019-04-09,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,4483
Jet Airways,2019-03-27,Delhi,Cochin,09:55:00,04:25:00,1110,1.0,In-flight meal not included,6540
Spicejet,2019-05-09,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,4885
Jet Airways,2019-03-06,Delhi,Cochin,19:10:00,18:50:00,2860,2.0,No Info,20694
Multiple Carriers,2019-06-27,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,7408
Spicejet,2019-06-09,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
Jet Airways,2019-05-21,Delhi,Cochin,20:55:00,04:25:00,450,1.0,In-flight meal not included,12898
Indigo,2019-06-15,Delhi,Cochin,08:30:00,21:00:00,750,1.0,No Info,6416
Jet Airways,2019-06-12,Delhi,Cochin,18:20:00,19:00:00,1480,2.0,No Info,14300
Air India,2019-06-21,Mumbai,Hyderabad,15:00:00,16:25:00,85,0.0,No Info,3100
Jet Airways,2019-03-09,Delhi,Cochin,11:00:00,14:15:00,195,0.0,No Info,9564
Vistara,2019-04-01,Kolkata,Banglore,07:10:00,09:05:00,1555,1.0,No Info,7980
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,No Info,14781
Jet Airways,2019-06-15,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,7229
Air Asia,2019-03-09,Banglore,New Delhi,05:50:00,08:40:00,170,0.0,No Info,7652
Indigo,2019-03-27,Delhi,Cochin,08:25:00,21:00:00,755,1.0,No Info,8285
Air Asia,2019-03-03,Banglore,New Delhi,05:50:00,08:40:00,170,0.0,No Info,7074
Air India,2019-03-15,Banglore,New Delhi,13:50:00,22:10:00,500,1.0,No Info,9166
Jet Airways,2019-05-24,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,No Info,14571
Multiple Carriers,2019-06-01,Delhi,Cochin,10:20:00,01:30:00,910,1.0,No Info,6795
Jet Airways,2019-05-01,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No Info,7229
Goair,2019-04-15,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No Info,5752
Jet Airways,2019-06-24,Delhi,Cochin,22:50:00,12:35:00,825,1.0,In-flight meal not included,10262
Multiple Carriers,2019-03-27,Delhi,Cochin,15:15:00,01:35:00,620,1.0,No Info,6427
Spicejet,2019-05-21,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No Info,2017
Jet Airways,2019-06-24,Delhi,Cochin,13:00:00,12:35:00,1415,1.0,In-flight meal not included,10262
Indigo,2019-05-06,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,7191
Air India,2019-03-09,Delhi,Cochin,20:30:00,23:00:00,1590,1.0,No Info,8119
Jet Airways,2019-06-03,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,No Info,14714
Jet Airways,2019-05-01,Kolkata,Banglore,06:30:00,16:20:00,590,1.0,No Info,14781
Air India,2019-05-06,Kolkata,Banglore,10:00:00,10:30:00,1470,3.0,No Info,12797
Jet Airways,2019-03-18,Banglore,New Delhi,14:05:00,07:40:00,1055,1.0,In-flight meal not included,10972
Spicejet,2019-04-24,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3873
Jet Airways,2019-06-21,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,7754
Jet Airways,2019-03-09,Banglore,New Delhi,19:55:00,22:35:00,160,0.0,No Info,7229
Vistara,2019-03-06,Mumbai,Hyderabad,15:40:00,16:45:00,1505,1.0,No Info,12395
Jet Airways,2019-05-21,Delhi,Cochin,16:00:00,12:35:00,1235,1.0,In-flight meal not included,12898
Jet Airways,2019-04-01,Kolkata,Banglore,20:00:00,19:50:00,1430,1.0,In-flight meal not included,7064
Jet Airways,2019-06-09,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,No Info,14571
Vistara,2019-06-06,Kolkata,Banglore,17:00:00,09:05:00,965,1.0,No Info,8452
Jet Airways,2019-06-09,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No Info,8016
Jet Airways,2019-05-09,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,In-flight meal not included,13029
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,16:20:00,1575,1.0,In-flight meal not included,8529
Multiple Carriers,2019-05-27,Delhi,Cochin,11:30:00,01:30:00,840,1.0,In-flight meal not included,6733
Jet Airways,2019-05-18,Kolkata,Banglore,18:55:00,04:40:00,585,1.0,In-flight meal not included,8586
Indigo,2019-06-03,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Spicejet,2019-05-15,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,3841
Jet Airways,2019-05-01,Kolkata,Banglore,09:35:00,09:45:00,1450,1.0,No Info,11467
Indigo,2019-05-24,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No Info,3419
Multiple Carriers,2019-05-09,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No Info,7787
Jet Airways,2019-05-27,Delhi,Cochin,18:15:00,19:00:00,1485,1.0,No Info,16079
Vistara,2019-05-09,Kolkata,Banglore,20:20:00,09:05:00,765,1.0,No Info,9187
Air India,2019-06-09,Kolkata,Banglore,05:50:00,20:25:00,875,2.0,No Info,11201
Indigo,2019-04-12,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,5780
Jet Airways,2019-05-18,Delhi,Cochin,14:00:00,19:00:00,300,1.0,No Info,15554
Multiple Carriers,2019-06-15,Delhi,Cochin,14:55:00,22:30:00,455,1.0,In-flight meal not included,6093
Jet Airways,2019-06-06,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,No Info,12692
Jet Airways,2019-03-03,Mumbai,Hyderabad,02:55:00,04:25:00,90,0.0,No Info,5678
Jet Airways,2019-03-01,Banglore,New Delhi,11:40:00,11:25:00,1425,1.0,No Info,25735
Jet Airways,2019-06-15,Delhi,Cochin,09:35:00,12:35:00,1620,2.0,In-flight meal not included,10824
Jet Airways,2019-03-21,Delhi,Cochin,16:00:00,18:50:00,1610,1.0,No Info,12557
Multiple Carriers,2019-05-15,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No Info,13727
Vistara,2019-06-09,Kolkata,Banglore,20:20:00,20:20:00,1440,1.0,No Info,8085
Air India,2019-05-27,Delhi,Cochin,05:15:00,06:50:00,1535,1.0,No Info,8425
Multiple Carriers,2019-06-03,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No Info,7198
Indigo,2019-04-03,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No Info,3419
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,12:00:00,1025,1.0,In-flight meal not included,10844
Indigo,2019-04-15,Delhi,Cochin,05:05:00,16:10:00,665,1.0,No Info,6171
Indigo,2019-03-03,Banglore,New Delhi,18:25:00,21:20:00,175,0.0,No Info,7648
Jet Airways,2019-05-18,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,In-flight meal not included,12384
Air India,2019-03-18,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4435
Multiple Carriers,2019-06-01,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No Info,7723
Jet Airways,2019-06-03,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No Info,8016
Indigo,2019-04-24,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Jet Airways,2019-06-27,Delhi,Cochin,02:15:00,19:00:00,1005,1.0,In-flight meal not included,10262
Goair,2019-05-27,Delhi,Cochin,07:00:00,12:55:00,355,1.0,No Info,5752
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,22:35:00,1610,1.0,No Info,13759
Air Asia,2019-05-03,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,4483
Indigo,2019-04-21,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No Info,4591
Jet Airways,2019-03-09,Banglore,New Delhi,08:55:00,15:55:00,420,2.0,No Info,23001
Multiple Carriers,2019-05-27,Delhi,Cochin,14:00:00,21:00:00,420,1.0,In-flight meal not included,7153
Air India,2019-03-21,Delhi,Cochin,13:20:00,19:15:00,1795,2.0,No Info,8708
Air India,2019-06-06,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No Info,3625
Indigo,2019-04-15,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No Info,4423
Jet Airways,2019-03-21,Delhi,Cochin,10:45:00,18:50:00,1925,2.0,No Info,11869
Vistara,2019-04-09,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No Info,5403
Jet Airways,2019-06-03,Delhi,Cochin,22:50:00,19:00:00,1210,1.0,In-flight meal not included,10262
Indigo,2019-06-03,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,5601
Indigo,2019-06-03,Delhi,Cochin,11:25:00,21:00:00,575,1.0,No Info,6093
Spicejet,2019-06-09,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,4174
Indigo,2019-03-15,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4148
Multiple Carriers,2019-05-09,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,15078
Air Asia,2019-03-24,Banglore,New Delhi,23:25:00,02:10:00,165,0.0,No Info,3383
Air India,2019-05-15,Banglore,Delhi,06:10:00,08:55:00,165,0.0,No Info,6961
Air India,2019-04-01,Kolkata,Banglore,10:00:00,01:20:00,920,2.0,No Info,10408
Air India,2019-06-06,Kolkata,Banglore,12:00:00,11:10:00,1390,2.0,No Info,9416
Jet Airways,2019-04-12,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,5198
Jet Airways,2019-05-21,Kolkata,Banglore,20:25:00,14:25:00,1080,1.0,No Info,11467
Spicejet,2019-04-12,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No Info,4991
Multiple Carriers,2019-05-18,Delhi,Cochin,09:45:00,22:30:00,765,1.0,No Info,10348
Multiple Carriers,2019-05-21,Delhi,Cochin,14:55:00,00:55:00,600,1.0,No Info,6878
Air India,2019-06-06,Delhi,Cochin,09:45:00,23:00:00,795,1.0,No Info,8907
Indigo,2019-06-09,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4804
Jet Airways,2019-06-15,Banglore,Delhi,15:15:00,18:10:00,175,0.0,In-flight meal not included,7229
Jet Airways,2019-06-27,Delhi,Cochin,21:50:00,19:00:00,1270,1.0,In-flight meal not included,10262
Indigo,2019-03-06,Delhi,Cochin,17:30:00,01:35:00,485,1.0,No Info,14871
Jet Airways,2019-05-18,Kolkata,Banglore,16:30:00,23:35:00,425,1.0,In-flight meal not included,10844
Vistara,2019-05-01,Kolkata,Banglore,07:10:00,18:50:00,700,1.0,No Info,9345
Air Asia,2019-06-12,Kolkata,Banglore,06:50:00,10:30:00,220,1.0,No Info,5162
Indigo,2019-05-21,Delhi,Cochin,10:35:00,21:00:00,625,1.0,No Info,6794
Multiple Carriers,2019-06-03,Delhi,Cochin,07:00:00,21:00:00,840,1.0,No Info,7618
Multiple Carriers,2019-03-09,Delhi,Cochin,06:40:00,19:45:00,785,1.0,No Info,12615
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,No Info,14939
Indigo,2019-04-27,Banglore,Delhi,13:00:00,15:50:00,170,0.0,No Info,4423
Jet Airways,2019-05-06,Kolkata,Banglore,18:55:00,08:15:00,800,1.0,In-flight meal not included,7757
Indigo,2019-03-27,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No Info,4392
Jet Airways,2019-05-27,Delhi,Cochin,19:10:00,19:00:00,1430,2.0,No Info,15129
Indigo,2019-03-06,Delhi,Cochin,02:05:00,07:25:00,320,1.0,No Info,10851
Air India,2019-03-21,Delhi,Cochin,16:40:00,19:15:00,1595,2.0,No Info,8236
Spicejet,2019-05-24,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No Info,3311
Multiple Carriers,2019-05-27,Delhi,Cochin,18:15:00,01:30:00,435,1.0,No Info,13377
Multiple Carriers,2019-06-06,Delhi,Cochin,11:40:00,21:00:00,560,1.0,No Info,7005
